운영우선순위,최종순위,채널ID,채널명,대표상위세그먼트,대표하위세그먼트,채널구독자수,최근영상조회수평균,최근영상참여율평균,최종점수,채널력점수,성장성점수,팬밀도점수,라이브친화점수,실전성점수,액션버킷,shortlist_선정여부,shortlist_유형,추천사유,주의사유,자동판정근거,변화요약
1,1,UCZBZhgVjq0OEPb34SEsLi6g,하나츠,음악·보이스형,성우더빙,16500.0,4658.1,0.0554550266913652,0.8231027617678528,0.6862850971922245,0.7932277409553068,0.8228941684665226,0.926530372369616,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.823, 채널력=0.686, 성장성=0.793, 팬밀도=0.823, 라이브=0.927, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",최종점수 +0.014 / 성장성 -0.000 / shortlist 신규 선정
2,2,UCYcb6BrBDHsFW0jtDu26yYg,노래짱 비쥬,,음악기타,97800.0,42819.7,0.0433420994853761,0.7956314060498622,0.8756209503239741,0.6738145350082614,0.7321814254859611,0.8764880904624213,0.99272,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.796, 채널력=0.876, 성장성=0.674, 팬밀도=0.732, 라이브=0.876, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",최종점수 -0.001 / 성장성 +0.000 / shortlist 신규 선정
3,3,UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린 AOKUMO RIN,,음악기타,247000.0,110063.8,0.0437722374624464,0.7888453756190146,0.9158882289416844,0.6107208140924406,0.734341252699784,0.886796411413387,0.99272,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.789, 채널력=0.916, 성장성=0.611, 팬밀도=0.734, 라이브=0.887, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",최종점수 -0.002 / 성장성 -0.001 / shortlist 신규 선정
4,4,UC7xoX101Wne0VDqzA_9Tg6g,썰허브,버츄얼 퍼포먼스형,버튜버,35900.0,5300.0,0.099377117989948,0.783273591386648,0.5463687904967602,0.6825323736538687,0.9573434125269978,0.8756522806555861,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.783, 채널력=0.546, 성장성=0.683, 팬밀도=0.957, 라이브=0.876, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 6단계 상승 / 최종점수 +0.032 / 성장성 +0.000 / shortlist 신규 선정
5,5,UC5D9FY9lb_CUuLKt-icFkAw,홍불이,버츄얼 퍼포먼스형,버튜버,3020.0,7324.3,0.0412390389379537,0.7753201372370729,0.561231101511879,0.8091886205500233,0.7154427645788337,0.9191938196207304,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.775, 채널력=0.561, 성장성=0.809, 팬밀도=0.715, 라이브=0.919, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 1단계 하락 / 최종점수 +0.000 / 성장성 +0.001 / shortlist 신규 선정
6,6,UC46k3AC4Q0IHdSu228AVX6Q,68summerberryblue썸베블,음악·보이스형,애니송커버,1220.0,401.6,0.1222291526103992,0.7729059072132366,0.2984341252699783,0.8137416954189439,0.9740820734341252,0.9006977918735297,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.773, 채널력=0.298, 성장성=0.814, 팬밀도=0.974, 라이브=0.901, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 1단계 하락 / 최종점수 -0.000 / 성장성 +0.000 / shortlist 신규 선정
7,7,UCrOAVNbR8vAAo7SZUfkVjhQ,오토 레이니,,커버기타,72900.0,20551.2,0.0937279665645262,0.7722608381095497,0.8279427645788338,0.4304285705998688,0.9487041036717062,0.9273661821764512,0.99272,즉시검토,True,즉시검토형,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.772, 채널력=0.828, 성장성=0.430, 팬밀도=0.949, 라이브=0.927, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",최종점수 +0.006 / 성장성 -0.000 / shortlist 신규 선정
8,8,UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제 AKANE LIZE,,게임기타,321000.0,153149.1,0.0486136963345998,0.7673171872115481,0.9402132829373652,0.5508069836269779,0.7742980561555075,0.8475009146370818,0.89272,즉시검토,True,즉시검토형,최종점수 상위 10% / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.767, 채널력=0.940, 성장성=0.551, 팬밀도=0.774, 라이브=0.848, 실전성=0.893, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 1단계 상승 / 최종점수 +0.012 / 성장성 +0.000 / shortlist 신규 선정
9,9,UCOgJrwmNBq_gUcF9unLLJuw,라빈 라비린스,창작·비주얼형,코스프레,8370.0,20742.2,0.0705473053775311,0.7664844191673548,0.7496490280777537,0.516487552948416,0.8990280777537797,0.8610596070590728,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음,주요 자동 리스크 낮음,"최종=0.766, 채널력=0.750, 성장성=0.516, 팬밀도=0.899, 라이브=0.861, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 3단계 하락 / 최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
10,11,UCYHHkrDQ37X_F86ALm3f54g,플뽀리,음악·보이스형,성우더빙,1690.0,6716.4,0.1287846119386173,0.7503868039177758,0.5853671706263499,0.7605194900964171,0.9800215982721382,0.4203721168874098,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.750, 채널력=0.585, 성장성=0.761, 팬밀도=0.980, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 1단계 상승 / 최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
