구분,항목,건수,비율
액션버킷,보류,1052,0.5680345572354212
액션버킷,검증필요,261,0.14092872570194384
액션버킷,성장관찰,225,0.12149028077753779
액션버킷,제외,181,0.09773218142548597
액션버킷,즉시검토,133,0.07181425485961124
shortlist,선정,619,0.33423326133909287
shortlist,미선정,1233,0.6657667386609071
shortlist_유형,미분류,1233,0.6657667386609071
shortlist_유형,점수상위검증형,259,0.1398488120950324
shortlist_유형,성장관찰형,225,0.12149028077753779
shortlist_유형,즉시검토형,133,0.07181425485961124
shortlist_유형,데이터검증형,2,0.0010799136069114472
변동방향,유지,1846,0.9967602591792657
변동방향,상승,3,0.0016198704103671706
변동방향,하락,2,0.0010799136069114472
변동방향,급하락,1,0.0005399568034557236
최종점수밴드,0.40 이하,107,0.05777537796976242
최종점수밴드,0.40~0.50,448,0.24190064794816415
최종점수밴드,0.50~0.60,812,0.43844492440604754
최종점수밴드,0.60~0.70,446,0.2408207343412527
최종점수밴드,0.70 초과,39,0.021058315334773217
성장성신뢰도등급,높음,1105,0.5966522678185745
성장성신뢰도등급,낮음,297,0.1603671706263499
성장성신뢰도등급,미산출,246,0.132829373650108
성장성신뢰도등급,보통,202,0.10907127429805616
성장성신뢰도등급,미분류,2,0.0010799136069114472
