스트리머명,플랫폼,소속,성단소속여부,성단_멤버수,성단_영입우선점수,포함_세그먼트,세그먼트_수,대시보드_후보등급,대시보드_종합점수,대중성_표준점수,방송화력_표준점수,팬덤결집력_표준점수,수익성_표준점수,외부유입가능성_표준점수,프로토스타_score,프로토스타_구분,위성점수,세그먼트_위성,슈퍼노바_score,슈퍼노바_구분,코멧여부,코멧score,코멧유입경로,최고_팔로워,최고_시청자,평균_시청자_최댓값,6분_최고채팅,뷰어십,도네이션,유튜브_구독자,X_팔로워,유튜브_유입지수,X_유입지수,팬덤지수,이미지URL
그잉,CHZZK,,N,,,프로토스타 / 코멧,2,중복 핵심 후보,55.9,58.7,42.0,88.7,29.7,66.7,42.895716932272364,S급 후보군,57.53,기타,42.382873289442585,일반 후보군,1,17.87,하이브리드,680,66,57,391,5923,58988,23600,16000,54.3,1.4839141629939714,48.7,https://nng-phinf.pstatic.net/MjAyNTA0MjBfOTkg/MDAxNzQ1MTI5NzE0NjIz.z2I9pcuSdsYgBLEXzJKFwzeAoea7v5qXay53KjTTv5gg.E0j7CyX-Z9cRkahXb9wGLQO8LncEiP5ThslkvugUKDIg.JPEG/%EB%8D%B0%EC%BD%94%EB%9D%BC%EC%9D%B4%EB%B0%98.jpg
피큐큐,CHZZK,,N,,,프로토스타 / 코멧,2,중복 핵심 후보,54.0,62.5,47.5,80.0,43.2,33.3,43.90338141495133,S급 후보군,61.12,기타,46.95623015836969,일반 후보군,1,20.33,유튜브 강세형,1391,90,57,448,17758,462392,180000,0,67.2,0.0,27.0,https://nng-phinf.pstatic.net/MjAyMzEyMDhfNTkg/MDAxNzAxOTY1MDM1MTE0.IoDzL_ZnTiYydtpim8hrqZTdRTo81yp6mlvU3uPAEZYg.6DQEgib9iEbiajSGeiEfgc4VMPil7OcEW5dMzcJw8QAg.JPEG/rwrw.jpg
기막사,CHZZK,,N,,,프로토스타 / 코멧,2,중복 핵심 후보,52.6,63.1,49.9,67.6,44.9,33.3,52.870879261152915,S급 후보군,59.74,기타,46.535887936645686,일반 후보군,1,14.25,유튜브 강세형,1718,88,67,363,38648,543215,104000,0,55.1,0.0,-15.5,https://nng-phinf.pstatic.net/MjAyMzEyMjFfODAg/MDAxNzAzMTUxNDU3NTA0.S0yIBMjXbmL3XAEtBZQDrB7YMUSc0mCndfegZNgRODcg.QMrqqakDxF5dueK0OnK80S9JUM27bnDqsr5bYCpPsdAg.JPEG/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C_%283%29.jpg
김염록,CHZZK,,N,,,프로토스타 / 코멧,2,중복 핵심 후보,52.4,52.2,42.7,71.8,39.9,59.3,43.07024638504801,S급 후보군,58.11,기타,42.85950499158407,일반 후보군,1,3.44,X 강세형,1385,88,65,165,22106,399226,6380,9314,21.1,1.2633615483760823,26.3,https://nng-phinf.pstatic.net/MjAyNTAxMDJfMzEg/MDAxNzM1ODIxOTQ4Njc5.aNBR7f_afvlBWXMsaZqq4C-zAKcVcmMMRYXHmm3_BhMg.d83t_K3Yt55yS1U2ZcagrKkPtw4y4BcpmOki7pQMZzEg.PNG/gg.png
차이니아,CHZZK,,N,,,프로토스타 / 코멧,2,중복 핵심 후보,40.8,29.5,42.9,55.6,31.5,45.2,33.54440636612204,S급 후보군,57.62,기타,36.84195162011979,일반 후보군,1,3.91,X 강세형,563,44,35,503,5085,116919,269,4745,-11.6,1.3362249320901973,33.6,https://nng-phinf.pstatic.net/MjAyNDA3MDFfNTUg/MDAxNzE5ODE5Nzk2ODQw.BIbYNprV6m5M3xB85phykPGCU0_Bw6odOKIWxp6JPgUg.ZnECx3rLlfjCU8PyBElx55H8cq7XqPQwxhmGoo5iyV4g.PNG/%ED%8D%BC%EB%A6%AC%EB%AA%85%ED%95%A8z.png
천수천수,CHZZK,,N,,,프로토스타 / 코멧,2,중복 핵심 후보,38.8,13.6,44.9,51.2,48.0,33.3,38.75987362143989,S급 후보군,59.3,기타,32.79764507065077,일반 후보군,1,10.12,X 강세형,759,47,35,256,31720,655949,0,17000,-100.0,1.4684998983262283,46.8,https://nng-phinf.pstatic.net/MjAyMzEyMjBfMjkx/MDAxNzAzMDA0ODE3NTk5.5wQ3ISvuJd6ucZAOX37TKALdjtUhEuxnHcHr4o0Ocbcg.mV50w4i9p4zkGF_llICWAwPwqoz9hPhjwTUpqv2Lujcg.PNG/Jz_ULDhs.png
오투 2,CHZZK,,N,,,프로토스타 / 코멧,2,중복 핵심 후보,34.7,19.7,39.2,49.8,30.0,33.3,34.40541961490394,S급 후보군,56.52,기타,31.880915132666395,일반 후보군,1,14.21,X 강세형,2492,55,42,284,5820,83927,0,184000,-100.0,1.5499707516913415,55.0,https://nng-phinf.pstatic.net/MjAyNTAyMjZfMjI4/MDAxNzQwNTU5MTU2MzMy.XD5KDMQhXXB1lDG0BjhqDxr-urVnpufWs-4X-0YTQYUg.M8mrKVp2br7f4qYFsy3mZS2JaArBquG6uJB1HAbHArgg.PNG/%ED%94%84%EB%A1%9C%ED%95%84.png
강지,CHZZK,스텔라이브,Y,11.0,83.0,슈퍼노바,1,세그먼트 후보,86.6,96.8,100.0,98.3,66.7,61.8,,,89.02,기타,68.16018733589294,슈퍼노바 핵심 후보군,0,0.0,비코멧,267338,18930,10073,5781,6379446,6006911,749000,119000,8.2,0.9352298375024359,3.4,https://nng-phinf.pstatic.net/MjAyNDA1MDRfODUg/MDAxNzE0NzkwMjMzNjYz.cGE7n_b7Tm0JR9CP3--tcALmEYOPlSc1EHBsYQBbwYIg.XA910LqWFiY_HGYtxcSSgR8fjh1FtnBvKLnSm1-i_SEg.PNG/xczxczxc.PNG
아야츠노 유니,CHZZK,스텔라이브,Y,11.0,83.0,슈퍼노바,1,세그먼트 후보,86.3,95.8,100.0,98.2,66.7,60.8,,,90.54,기타,68.38423861758454,슈퍼노바 핵심 후보군,0,0.0,비코멧,281741,21414,14086,6674,10770780,6715398,347000,110000,1.7,0.9250520949161449,2.8,https://nng-phinf.pstatic.net/MjAyNTAzMzFfMjQw/MDAxNzQzNDMwNTM4OTg4.Bam6imHvAZLBWT0GHFprz94iS5CaGFmVI9RoXktnY-4g.AkwRyhY_RhSGzEiBXTvs4pEyo7KxI4GmUd151O8cVcYg.PNG/%EC%9C%A0%EB%8B%883.png
시라유키 히나,CHZZK,스텔라이브,Y,11.0,83.0,슈퍼노바,1,세그먼트 후보,86.3,95.9,100.0,98.5,66.7,60.8,,,91.33,기타,69.71585899240604,슈퍼노바 핵심 후보군,0,0.0,비코멧,219675,47218,30958,6960,8608945,6864206,302000,85000,2.6,0.922805062097905,4.4,https://nng-phinf.pstatic.net/MjAyNjA0MTNfMjQx/MDAxNzc2MDY0NDg2MTI3.R9iKGvCIe2yTsl2srojhOYmdKoas_v5EWA1D96uNjYQg.LjMY6UtlQGuYxztJ9iaOtsx2AgO5uTpfpfGGbfFaJWYg.JPEG/image.jpg
