소속,멤버수,합계_뷰어십,합계_도네이션,플랫폼체급_점수,ARPU_점수,외부인기_점수,대중성_점수,영입우선_점수
이소로피아,3,189774,2852993,54,72,64,84,100
리레볼루션,4,924754,5254413,69,44,83,96,99
셀리브,6,38574,437206,52,64,62,93,99
바라바라,6,56549,709730,51,66,62,90,98
크레슈,4,136602,2787678,53,81,52,71,96
오토메테일,4,35465,727658,43,81,52,80,95
스테이브,4,56842,949190,49,75,55,80,95
싸이코드,5,2629047,7951943,79,28,87,94,94
이엔아이,4,18083,325094,37,77,54,88,94
몽상컴퍼니,7,789706,8703730,67,63,60,71,93
에이더스,4,97381,1155328,48,65,61,85,91
에델리안,6,41292,799450,37,79,54,81,91
리베르타,3,384599,3718488,59,59,64,79,91
루미니아,3,52288,1166980,44,84,47,69,90
피제이엑스,3,1019542,6084949,69,46,69,80,89
베리타,6,197394,3145135,54,73,50,66,88
헥시아,4,405386,3577757,61,56,61,75,88
리액트케이알,7,1178519,8494253,69,51,63,72,87
유부녀즈,5,147058,1944372,50,68,55,73,87
헤이븐프로덕션,3,31621,633016,44,80,44,68,87
브이메이드,6,189605,5683937,53,93,35,46,86
언페이머스,3,11676,271824,33,85,42,72,86
그림프로덕션,8,1216335,9006486,67,51,64,72,86
나름아이,5,12680,245825,33,79,46,78,86
플레이바이스쿨,4,304560,3670164,60,65,50,63,85
페르마타,1,5594,92766,32,75,44,82,85
아이즈키,2,32984,690359,39,82,44,68,85
블리즈,3,1016725,4403179,70,37,71,82,85
씨씨에스,4,34732,589402,43,75,46,70,84
오버더월,7,4908275,16108897,77,30,78,81,84
스타드림컴퍼니,4,1164163,7199145,71,47,61,70,84
세레니티,2,128459,1870988,47,71,52,70,84
리버티,2,57798,2214353,50,100,26,38,84
메이데이,3,73010,1681160,50,85,37,53,83
스텔라이브,11,84197251,67673564,96,3,100,87,83
러브포에트,3,32128,630015,36,80,46,71,83
리버스프로젝트,2,88596,1130234,59,67,43,61,83
메이릴리,2,18832,190954,34,60,57,93,83
비벤디,3,22228,474417,34,82,44,70,83
애프터라이브,4,74301,1151308,46,73,47,67,82
히키즈,4,56053,829515,40,71,51,74,82
홀리라이브,1,10199,143306,42,70,43,74,82
프로젝트아이,12,17732569,35258990,85,19,85,81,82
그림토피아,3,85118,912527,43,62,55,77,80
네오노벨,3,73900,1114206,38,72,49,70,79
브이시즈,4,149186,1812618,41,66,56,75,79
브이아라,2,28983,507188,41,76,41,64,79
걸즈원,8,210459,1749081,54,55,53,69,77
위싱라이브,3,345641,3297999,55,59,51,64,77
리스텔라,3,2187839,9167588,70,36,67,73,77
자락,2,7389,192951,27,88,34,62,77
오프라인,4,412888,6176365,63,72,36,44,77
클루즈,2,710805,2317555,68,30,68,80,77
마이엔젤,2,9690,165641,32,76,39,68,75
도파민,3,3128868,16129483,76,42,54,58,75
베이블루아카데미,6,484795,3251931,61,49,54,65,75
브이아이,1,51010,365903,46,51,54,79,75
이브닛,6,4647091,9697999,79,20,72,75,74
버츄얼헤르츠,2,431955,2533579,53,45,61,74,73
로망시에,3,49310,764750,40,73,41,60,73
세리온,1,1839,25165,19,69,40,85,73
주스,3,61952,890830,39,70,44,63,73
베이라이트,3,1302089,3744361,70,27,64,73,72
메이드림,2,42319,616658,36,71,42,64,72
서피카,1,216542,1535000,64,50,43,56,72
리플래닛,4,22065,409536,31,78,38,61,72
이세계아이돌,6,39714400,25347961,100,0,77,70,71
유아렐,4,1177733,5996163,73,41,49,56,71
브이럽,2,261964,698084,61,25,64,82,71
동물복지부,4,13938,160006,28,64,46,77,71
외딴섬,4,295100,3575195,54,65,39,49,70
에스더,4,19193308,19470592,86,7,78,75,70
테라포레,2,333304,3127310,52,58,46,58,70
메르헨,2,191050,1824523,52,59,43,57,70
비나인,2,113343,1454329,44,67,41,56,69
라쿤캣퍼니,2,14385,168657,34,65,41,68,69
오엑스오,2,283916,2039364,62,51,42,54,69
시그널,4,1198516,7467150,67,47,46,52,69
쵸비패밀리,1,8949,130969,36,71,33,59,68
플랜비뮤직,3,808787,4002255,66,41,50,59,68
지하돌,4,223859,1573516,62,50,41,53,68
에레원,3,6513,49408,36,52,43,78,68
블루점프,5,5428096,8583333,86,14,63,65,68
프로젝트유니버스,3,142178,2173563,46,72,34,46,67
하데스,4,6123607,12431906,83,19,61,62,67
신수도원,4,13033,177733,27,69,40,67,66
이브리티,1,3129,40351,25,67,36,71,66
베가본드,4,27374,382330,38,70,35,54,65
아우터픽션,1,6722,113199,25,75,34,61,65
리웨이브,4,276673,2927376,60,62,31,40,65
디오페레타,3,9540,99083,28,61,42,73,65
지엔즈,2,283412,1721641,62,46,41,52,64
유피아,3,25811,376339,36,71,33,52,63
유니티브,2,24642,360182,38,71,31,49,63
플라티,2,426034,2982095,60,50,40,49,63
릴루네,1,686,9582,15,70,29,71,61
하츠코이,1,1292,27137,22,82,23,51,61
러브레이,3,164872,2931579,54,77,19,25,61
프리아,1,875086,1952338,73,21,52,61,61
노블리주,1,1593,12861,18,54,39,84,61
이즈잇,1,30829,316950,44,61,32,49,60
마이주,3,187542,1544806,56,54,32,43,59
선데이스,1,863,15108,16,76,26,61,59
영혼관리공사,2,5382,58778,20,62,38,70,59
크레비쥬,1,349593,1662754,70,40,31,39,56
키치즈,3,161433,1350771,54,55,29,39,56
유네트,8,142609,1237599,45,56,35,47,55
이리스,6,140271,1726729,43,66,28,37,54
세레비아,3,1133,11487,16,60,30,68,53
아니마프로젝트,1,1146,17673,19,73,23,53,53
스쿨존,3,7783,59702,28,52,36,64,53
물식빵,1,909,1946,23,20,43,100,52
이매방랑,3,72262,546815,39,52,36,52,52
헤리타,2,42206,280474,43,48,35,52,52
ㅇㄴㅇ,3,132269,768825,49,45,37,50,52
러쉬,4,207251,1712823,48,55,31,40,52
엘리브에잇,2,111293,645514,50,45,34,47,51
우주선,1,2915,25926,19,57,33,67,51
