최종순위,채널ID,채널명,대표상위세그먼트,대표하위세그먼트,구독자수,한국채널추정여부,최근평균조회수,최근평균참여율,최근라이브비율,채널력점수,성장성점수,팬밀도점수,라이브친화점수,실전성점수,최종점수,액션버킷,치지직활동여부,SOOP활동여부,타플랫폼활동여부,최종제외여부,최근30일_업로드수,최근30일_평균조회수,최근30일_평균참여율,최근30일_라이브비율,직전30일_업로드수,직전30일_평균조회수,직전30일_평균참여율,직전30일_라이브비율,최근7일_업로드수,최근7일_평균조회수,최근7일_평균참여율,최근7일_라이브비율,직전7일_업로드수,직전7일_평균조회수,직전7일_평균참여율,직전7일_라이브비율,30일_조회수성장률,30일_참여율성장률,30일_업로드수성장률,30일_라이브비율차이,7일_조회수성장률,7일_참여율성장률,7일_업로드수성장률,7일_라이브비율차이,성장성수집영상수,30일_조회수성장률_pct,30일_참여율성장률_pct,30일_업로드수성장률_pct,7일_조회수성장률_pct,7일_참여율성장률_pct,성장성점수_proxy_raw,성장성신뢰도,성장성점수_proxy,성장성신뢰도등급
1,UCsQv92ctfaDKDgg5BwzQG1Q,키팩(Key Pac),,서브컬쳐게임,5840.0,1,5.5,0.0,0.0,0.8780438311688311,,0.9970238095238096,0.5857683982683982,1.0,0.8755095598845598,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
2,UCA3lHO38Fg0J5rMlvkdtC_w,202psj,버츄얼 퍼포먼스형,버튜버,2470.0,1,13.666666666666666,0.0,0.0,0.8416666666666667,,0.9970238095238096,0.5857683982683982,1.0,0.8633838383838385,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
3,UClyujSkDmncThlzEmaA5CUg,소나기온다,버츄얼 퍼포먼스형,버튜버,1120.0,1,2109.5,0.0069635867851379,0.0,0.8134334415584417,0.9661112151282528,0.9253246753246752,0.5530256306025328,1.0,0.8591711775932223,즉시검토,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
4,UCkDHmxrOkPYYKgQde3VKRTA,토성커피,창작·비주얼형,코스프레,2360.0,1,1088.5,0.0016114180478821,0.0,0.8187635281385282,,0.9816017316017316,0.5857683982683982,1.0,0.8506087662337661,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
5,UC20fjxnNqX_lgCfbPMsmTng,가디언 사육사의 슬롯이야기,창작·비주얼형,코스프레,9940.0,1,5.0,0.0,0.0,0.7832792207792207,,0.9970238095238096,0.5857683982683982,1.0,0.8439213564213564,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
6,UCmH7B9Ce3CC9ZEjF3qjklYA,나즈 NaZ,버츄얼 퍼포먼스형,버튜버,1100.0,1,1309.5,0.0070270253760905,0.0,0.8534226190476191,,0.9237012987012988,0.5857683982683982,1.0,0.8428616522366522,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
7,UCFg9I5j58_7fktN2xxFcfiw,안이상한 고양이,,서브컬쳐게임,2030.0,1,67.0,0.010752688172043,0.0,0.9197916666666668,,0.8555194805194806,0.5857683982683982,1.0,0.8422573953823953,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
8,UCYfREO8U5P0NwcKcE1vQlVg,001 CLUB,음악·보이스형,애니송커버,6690.0,1,96.4,0.0008130081300813,0.0,0.7828733766233765,,0.988095238095238,0.5857683982683982,1.0,0.8408098845598845,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
9,UCXKGMoEggVMRok84-lgk-Uw,Bakddang,음악·보이스형,ASMR보이스,1260.0,1,2229.0,0.0027289848015298,0.0,0.7985524891774892,,0.9724025974025974,0.5857683982683982,1.0,0.8408053751803751,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
10,UC8gF2atfvul_kt3LoGqparw,상여자루다,버츄얼 퍼포먼스형,버튜버,3720.0,1,1473.5,0.0,0.0,0.7690070346320346,,0.9970238095238096,0.5857683982683982,1.0,0.839163961038961,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
