최종순위,채널ID,채널명,대표상위세그먼트,대표하위세그먼트,채널구독자수,최근영상조회수평균,최근영상참여율평균,성장성점수_proxy,성장성신뢰도,성장성신뢰도등급,채널력점수,성장성점수,팬밀도점수,라이브친화점수,실전성점수,최종점수,액션버킷,성장성점수_raw,최종점수분위,채널력점수분위,성장성점수분위,팬밀도점수분위,라이브친화점수분위,실전성점수분위,shortlist_선정여부,shortlist_유형,운영우선순위,추천사유,주의사유,자동판정근거,순위변동,운영우선순위변동,최종점수변동,성장성점수변동,팬밀도점수변동,실전성점수변동,신규진입여부,액션버킷변동여부,shortlist_신규선정여부,shortlist_유지여부,shortlist_이탈여부,변동방향,변화요약
1,UCzmaoc4-YtFeYz4NQbyF9mg,슬라임네 십덕방,,서브컬쳐게임,1460.0,7612.1,0.0965087274100304,0.781733997797092,1.0,높음,0.5214227861771058,0.781733997797092,0.9514038876889848,0.8564587540097384,0.99272,0.7931498007351865,즉시검토,0.781733997797092,1.0,0.5599352051835853,0.9854211663066956,0.9514038876889848,0.9028077753779696,0.7275917926565875,True,즉시검토형,1,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.793, 채널력=0.521, 성장성=0.782, 팬밀도=0.951, 라이브=0.856, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
2,UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린 AOKUMO RIN,,음악기타,247000.0,120156.2,0.0408131270832867,0.6298084631539471,0.875,높음,0.9191819654427644,0.6135824052597038,0.7062634989200864,0.8865279978785128,0.99272,0.7841538753143211,즉시검토,0.6298084631539471,0.9994600431965442,0.9827213822894167,0.8687904967602592,0.7062634989200864,0.9362850971922246,0.7275917926565875,True,즉시검토형,2,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.784, 채널력=0.919, 성장성=0.614, 팬밀도=0.706, 라이브=0.887, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
3,UC3kYy4y56E1A1VmkmfftBUw,흑우수달,,서브컬쳐게임,35000.0,7907.2,0.1263104331466764,0.7941889290843941,1.0,높음,0.6569789416846652,0.7941889290843941,0.9773218142548596,0.5232161456669264,0.99272,0.7821750883003649,즉시검토,0.7941889290843941,0.9989200863930886,0.7726781857451404,0.9886609071274298,0.9773218142548596,0.7807775377969762,0.7275917926565875,True,즉시검토형,3,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.782, 채널력=0.657, 성장성=0.794, 팬밀도=0.977, 라이브=0.523, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
4,UCZBZhgVjq0OEPb34SEsLi6g,하나츠,음악·보이스형,성우더빙,16500.0,5512.8,0.0455772171874902,0.6984517658180885,1.0,높음,0.697111231101512,0.6984517658180885,0.7473002159827213,0.9052803142612496,1.0,0.7791290599267836,즉시검토,0.6984517658180885,0.9983801295896328,0.8201943844492441,0.9524838012958964,0.7473002159827213,0.9460043196544276,0.8871490280777538,True,즉시검토형,4,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.779, 채널력=0.697, 성장성=0.698, 팬밀도=0.747, 라이브=0.905, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
5,UC7xoX101Wne0VDqzA_9Tg6g,썰허브,버츄얼 퍼포먼스형,버튜버,35900.0,5647.3,0.0592285101176743,0.7471824364958459,1.0,높음,0.5547786177105831,0.7471824364958459,0.843952483801296,0.8501717717612177,1.0,0.7744576903156329,즉시검토,0.7471824364958459,0.9978401727861772,0.6123110151187905,0.9730021598272138,0.843952483801296,0.8960583153347732,0.8871490280777538,True,즉시검토형,5,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.774, 채널력=0.555, 성장성=0.747, 팬밀도=0.844, 라이브=0.850, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
6,UCYcb6BrBDHsFW0jtDu26yYg,노래짱 비쥬,,음악기타,98200.0,51036.6,0.0402596977963823,0.6062343629131338,1.0,높음,0.883099352051836,0.6062343629131338,0.6976241900647948,0.8454565350748272,0.99272,0.7660968811425605,즉시검토,0.6062343629131338,0.9973002159827212,0.968682505399568,0.8601511879049676,0.6976241900647948,0.8890388768898488,0.7275917926565875,True,즉시검토형,6,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.766, 채널력=0.883, 성장성=0.606, 팬밀도=0.698, 라이브=0.845, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
7,UCrOAVNbR8vAAo7SZUfkVjhQ,오토 레이니,,커버기타,73100.0,19459.0,0.0748074640609344,0.5323411572852181,1.0,높음,0.8234611231101512,0.5323411572852181,0.9098272138228942,0.7026036141960714,0.99272,0.7575431002945417,즉시검토,0.5323411572852181,0.9967602591792656,0.9319654427645788,0.7203023758099352,0.9098272138228942,0.8266738660907127,0.7275917926565875,True,즉시검토형,7,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.758, 채널력=0.823, 성장성=0.532, 팬밀도=0.910, 라이브=0.703, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
8,UCOgJrwmNBq_gUcF9unLLJuw,라빈 라비린스,창작·비주얼형,코스프레,8450.0,21866.6,0.065128798120973,0.4854485848770586,0.75,보통,0.7534287257019437,0.4890864386577939,0.8736501079913607,0.8681081622937621,1.0,0.7551177705807737,즉시검토,0.4854485848770586,0.99622030237581,0.8763498920086393,0.3255939524838013,0.8736501079913607,0.9271058315334774,0.8871490280777538,True,즉시검토형,8,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.755, 채널력=0.753, 성장성=0.489, 팬밀도=0.874, 라이브=0.868, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
9,UC5D9FY9lb_CUuLKt-icFkAw,홍불이,버츄얼 퍼포먼스형,버튜버,3010.0,3787.1,0.0715384740740432,0.5797423796902853,1.0,높음,0.5087068034557236,0.5797423796902853,0.8979481641468683,0.9298595313558348,1.0,0.7412708888892253,즉시검토,0.5797423796902853,0.9956803455723542,0.5367170626349892,0.8137149028077754,0.8979481641468683,0.9616630669546437,0.8871490280777538,True,즉시검토형,9,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.741, 채널력=0.509, 성장성=0.580, 팬밀도=0.898, 라이브=0.930, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
10,UCHexpJz2t4ZOP8leiHktJSQ,IRO(아이로),,기타 연주,12900.0,2500.7,0.0891507507659376,0.4872469413704843,1.0,높음,0.6026187904967603,0.4872469413704843,0.9400647948164148,0.9147870685138088,0.99272,0.7348111926297055,즉시검토,0.4872469413704843,0.9951403887688984,0.6997840172786177,0.3185745140388769,0.9400647948164148,0.9524838012958964,0.7275917926565875,True,즉시검토형,10,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.735, 채널력=0.603, 성장성=0.487, 팬밀도=0.940, 라이브=0.915, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",0.0,,0.0,0.0,0.0,0.0,False,False,True,False,False,유지,shortlist 신규 선정
