구분,항목,건수,비율
액션버킷,보류,1058,0.5712742980561555
액션버킷,검증필요,252,0.13606911447084233
액션버킷,성장관찰,229,0.1236501079913607
액션버킷,제외,182,0.09827213822894168
액션버킷,즉시검토,131,0.07073434125269978
shortlist,선정,612,0.3304535637149028
shortlist,미선정,1240,0.6695464362850972
shortlist_유형,미분류,1240,0.6695464362850972
shortlist_유형,점수상위검증형,250,0.13498920086393087
shortlist_유형,성장관찰형,229,0.1236501079913607
shortlist_유형,즉시검토형,131,0.07073434125269978
shortlist_유형,데이터검증형,2,0.0010799136069114472
변동방향,유지,1845,0.9962203023758099
변동방향,상승,5,0.0026997840172786176
변동방향,하락,1,0.0005399568034557236
변동방향,급하락,1,0.0005399568034557236
최종점수밴드,0.40 이하,108,0.058315334773218146
최종점수밴드,0.40~0.50,438,0.23650107991360692
최종점수밴드,0.50~0.60,814,0.43952483801295894
최종점수밴드,0.60~0.70,454,0.2451403887688985
최종점수밴드,0.70 초과,38,0.020518358531317494
성장성신뢰도등급,높음,1098,0.5928725701943844
성장성신뢰도등급,낮음,295,0.15928725701943844
성장성신뢰도등급,미산출,250,0.13498920086393087
성장성신뢰도등급,보통,207,0.11177105831533478
성장성신뢰도등급,미분류,2,0.0010799136069114472
